idx,alpha,ans,imaginal-activation,imaginal-delay,le,nu,visual-activation,Rule,Inputs,Probe,ProbeCorrect,EncodingRT,ExecutionRT,ProbeRT,Accuracy
25500,0.0,0.0,2.0,0.14,1.0,0.3,1.0,(INCREMENT DOUBLE DIVIDE),(5 3),1,YES,2.636,3.5870001,0.2850008,1
25500,0.0,0.0,2.0,0.14,1.0,0.3,1.0,(INCREMENT DOUBLE DIVIDE),(1 1),2,NO,4.549,2.7960005,0.43499947,1
25500,0.0,0.0,2.0,0.14,1.0,0.3,1.0,(TRIPLE INCREMENT ADD),(2 4),10,NO,2.8500004,3.493,0.43499947,1
25500,0.0,0.0,2.0,0.14,1.0,0.3,1.0,(TRIPLE INCREMENT ADD),(1 4),7,NO,2.500002,2.8729973,0.43500137,1
25500,0.0,0.0,2.0,0.14,1.0,0.3,1.0,(TRIPLE INCREMENT ADD),(2 9),15,NO,2.8649979,2.781002,0.43500137,1
25500,0.0,0.0,2.0,0.14,1.0,0.3,1.0,(TRIPLE INCREMENT ADD),(8 8),33,YES,2.7889977,2.841999,0.28499985,1
25500,0.0,0.0,2.0,0.14,1.0,0.3,1.0,(INCREMENT DOUBLE DIVIDE),(3 1),1,NO,5.842003,2.795002,0.43499756,1
25500,0.0,0.0,2.0,0.14,1.0,0.3,1.0,(TRIPLE INCREMENT ADD),(2 1),7,NO,1.9489975,2.8180008,0.43499756,1
25500,0.0,0.0,2.0,0.14,1.0,0.3,1.0,(TRIPLE INCREMENT ADD),(6 4),23,YES,1.515007,2.8519974,0.28499603,1
25500,0.0,0.0,2.0,0.14,1.0,0.3,1.0,(INCREMENT DOUBLE DIVIDE),(7 3),1,YES,1.7940063,2.808998,0.28499603,1
25500,0.0,0.0,2.0,0.14,1.0,0.3,1.0,(TRIPLE INCREMENT ADD),(6 1),20,YES,1.3790054,2.7229996,0.28499603,1
25500,0.0,0.0,2.0,0.14,1.0,0.3,1.0,(TRIPLE INCREMENT ADD),(2 6),12,NO,1.788002,2.8330002,0.43499756,1
25500,0.0,0.0,2.0,0.14,1.0,0.3,1.0,(TRIPLE INCREMENT ADD),(3 5),15,YES,1.9160004,2.7830048,0.28499603,1
25500,0.0,0.0,2.0,0.14,1.0,0.3,1.0,(INCREMENT DOUBLE DIVIDE),(3 2),1,YES,3.0830002,2.7190018,0.28499603,1
25500,0.0,0.0,2.0,0.14,1.0,0.3,1.0,(INCREMENT DOUBLE DIVIDE),(7 3),2,NO,1.3560028,2.7820053,0.43499756,1
25500,0.0,0.0,2.0,0.14,1.0,0.3,1.0,(INCREMENT DOUBLE DIVIDE),(8 3),1,YES,1.5039978,2.8390045,0.2849884,1
25500,0.0,0.0,2.0,0.14,1.0,0.3,1.0,(TRIPLE INCREMENT ADD),(3 7),17,YES,1.7850037,2.8619995,0.28500366,1
25500,0.0,0.0,2.0,0.14,1.0,0.3,1.0,(INCREMENT DOUBLE DIVIDE),(9 3),2,NO,2.1790009,2.793991,0.43501282,1
25500,0.0,0.0,2.0,0.14,1.0,0.3,1.0,(INCREMENT DOUBLE DIVIDE),(7 3),2,NO,1.0829926,2.9049988,0.43499756,1
25500,0.0,0.0,2.0,0.14,1.0,0.3,1.0,(INCREMENT DOUBLE DIVIDE),(5 3),1,YES,1.0850067,2.8150024,0.28500366,1
25500,0.0,0.0,2.0,0.14,1.0,0.3,1.0,(TRIPLE INCREMENT ADD),(3 7),17,YES,2.2149963,2.800003,0.2849884,1
25500,0.0,0.0,2.0,0.14,1.0,0.3,1.0,(DOUBLE DOUBLE DIVIDE),(4 3),2,NO,3.100998,2.782013,0.43499756,1
