idx,model_name,alpha,ans,imaginal-delay,le,nu,Rule,Inputs,Probe,ProbeCorrect,EncodingRT,ExecutionRT,ProbeRT,Accuracy
900,BILINGUAL-DEVEL,0.1,0.01,0.19,0.9,0.3,(INCREMENT DOUBLE DIVIDE),(5 3),1,YES,1.397,3.944,0.28499985,1
900,BILINGUAL-DEVEL,0.1,0.01,0.19,0.9,0.3,(INCREMENT DOUBLE DIVIDE),(1 1),2,NO,6.1089993,2.9329996,0.43500137,1
900,BILINGUAL-DEVEL,0.1,0.01,0.19,0.9,0.3,(TRIPLE INCREMENT ADD),(2 4),10,NO,3.2719994,3.6399994,0.43500137,1
900,BILINGUAL-DEVEL,0.1,0.01,0.19,0.9,0.3,(TRIPLE INCREMENT ADD),(1 4),7,NO,4.3320007,2.9379997,0.43499756,1
900,BILINGUAL-DEVEL,0.1,0.01,0.19,0.9,0.3,(TRIPLE INCREMENT ADD),(2 9),15,NO,1.6809998,2.9580002,0.43500137,1
900,BILINGUAL-DEVEL,0.1,0.01,0.19,0.9,0.3,(TRIPLE INCREMENT ADD),(8 8),33,YES,1.1769981,2.9230003,0.28499985,1
900,BILINGUAL-DEVEL,0.1,0.01,0.19,0.9,0.3,(INCREMENT DOUBLE DIVIDE),(3 1),1,NO,6.0600014,2.9559937,0.4350052,1
900,BILINGUAL-DEVEL,0.1,0.01,0.19,0.9,0.3,(TRIPLE INCREMENT ADD),(2 1),7,NO,1.2009964,2.9349976,0.4350052,1
900,BILINGUAL-DEVEL,0.1,0.01,0.19,0.9,0.3,(TRIPLE INCREMENT ADD),(6 4),23,YES,4.2750015,2.935997,0.28500366,1
900,BILINGUAL-DEVEL,0.1,0.01,0.19,0.9,0.3,(INCREMENT DOUBLE DIVIDE),(7 3),1,YES,3.1259995,2.921997,0.28499603,1
900,BILINGUAL-DEVEL,0.1,0.01,0.19,0.9,0.3,(TRIPLE INCREMENT ADD),(6 1),20,YES,2.0300064,2.876999,0.28499603,1
900,BILINGUAL-DEVEL,0.1,0.01,0.19,0.9,0.3,(TRIPLE INCREMENT ADD),(2 6),12,NO,1.5200043,2.9459991,0.43499756,1
900,BILINGUAL-DEVEL,0.1,0.01,0.19,0.9,0.3,(TRIPLE INCREMENT ADD),(3 5),15,YES,1.1660004,2.937004,0.28499603,1
900,BILINGUAL-DEVEL,0.1,0.01,0.19,0.9,0.3,(INCREMENT DOUBLE DIVIDE),(3 2),1,YES,2.5890045,2.921997,0.28500366,1
900,BILINGUAL-DEVEL,0.1,0.01,0.19,0.9,0.3,(INCREMENT DOUBLE DIVIDE),(7 3),2,NO,1.0289917,2.9080048,0.43499756,1
900,BILINGUAL-DEVEL,0.1,0.01,0.19,0.9,0.3,(INCREMENT DOUBLE DIVIDE),(8 3),1,YES,1.1809998,2.9720001,0.28500366,1
900,BILINGUAL-DEVEL,0.1,0.01,0.19,0.9,0.3,(TRIPLE INCREMENT ADD),(3 7),17,YES,1.0289917,2.9400024,0.28500366,1
900,BILINGUAL-DEVEL,0.1,0.01,0.19,0.9,0.3,(INCREMENT DOUBLE DIVIDE),(9 3),2,NO,1.0310059,2.9440002,0.43499756,1
900,BILINGUAL-DEVEL,0.1,0.01,0.19,0.9,0.3,(INCREMENT DOUBLE DIVIDE),(7 3),2,NO,1.1849976,2.9420013,0.43499756,1
900,BILINGUAL-DEVEL,0.1,0.01,0.19,0.9,0.3,(INCREMENT DOUBLE DIVIDE),(5 3),1,YES,1.6970062,2.9589996,0.2849884,1
900,BILINGUAL-DEVEL,0.1,0.01,0.19,0.9,0.3,(TRIPLE INCREMENT ADD),(3 7),17,YES,1.0360107,2.9279938,0.28500366,1
900,BILINGUAL-DEVEL,0.1,0.01,0.19,0.9,0.3,(DOUBLE DOUBLE DIVIDE),(4 3),2,NO,2.121994,2.9150085,0.43499756,1
900,BILINGUAL-DEVEL,0.1,0.01,0.19,0.9,0.3,(HALF THIRD ADD),(6 9),5,NO,2.26799,3.6130066,0.43499756,1
900,BILINGUAL-DEVEL,0.1,0.01,0.19,0.9,0.3,(DOUBLE THIRD DIVIDE),(6 8),4,NO,3.2660065,2.9629974,0.43499756,1
900,BILINGUAL-DEVEL,0.1,0.01,0.19,0.9,0.3,(INCREMENT DOUBLE DIVIDE),(3 1),2,YES,3.2350006,2.9539948,0.28500366,1
900,BILINGUAL-DEVEL,0.1,0.01,0.19,0.9,0.3,(INCREMENT THIRD TIMES),(3 6),7,NO,2.625,2.9349976,0.43501282,1
900,BILINGUAL-DEVEL,0.1,0.01,0.19,0.9,0.3,(INCREMENT THIRD TIMES),(4 7),10,YES,3.3989868,2.9370117,0.2849884,1
900,BILINGUAL-DEVEL,0.1,0.01,0.19,0.9,0.3,(TRIPLE INCREMENT TIMES),(2 7),48,YES,2.6320038,2.9430084,0.2849884,1
900,BILINGUAL-DEVEL,0.1,0.01,0.19,0.9,0.3,(TRIPLE INCREMENT DIVIDE),(7 6),3,YES,3.1210022,2.9179993,0.28500366,1
900,BILINGUAL-DEVEL,0.1,0.01,0.19,0.9,0.3,(TRIPLE TRIPLE ADD),(3 8),33,YES,3.1270142,3.6299744,0.28500366,1
900,BILINGUAL-DEVEL,0.1,0.01,0.19,0.9,0.3,(DOUBLE THIRD TIMES),(4 7),17,NO,2.1190186,2.9700012,0.43499756,1
900,BILINGUAL-DEVEL,0.1,0.01,0.19,0.9,0.3,(TRIPLE INCREMENT ADD),(2 9),14,NO,7.494995,2.9190063,0.43499756,1
900,BILINGUAL-DEVEL,0.1,0.01,0.19,0.9,0.3,(TRIPLE INCREMENT ADD),(6 4),23,YES,1.1819763,2.9620056,0.28500366,1
900,BILINGUAL-DEVEL,0.1,0.01,0.19,0.9,0.3,(TRIPLE INCREMENT ADD),(1 4),7,NO,1.0240173,2.92099,0.43499756,1
900,BILINGUAL-DEVEL,0.1,0.01,0.19,0.9,0.3,(DOUBLE TRIPLE DIVIDE),(3 2),1,YES,3.2730103,2.9289856,0.28500366,1
900,BILINGUAL-DEVEL,0.1,0.01,0.19,0.9,0.3,(INCREMENT HALF ADD),(4 7),8,YES,2.6230164,3.644989,0.28500366,1
900,BILINGUAL-DEVEL,0.1,0.01,0.19,0.9,0.3,(INCREMENT DOUBLE DIVIDE),(5 3),2,NO,2.6130066,2.9319763,0.43499756,1
900,BILINGUAL-DEVEL,0.1,0.01,0.19,0.9,0.3,(INCREMENT DOUBLE DIVIDE),(7 3),2,NO,1.1860046,2.9450073,0.43499756,1
900,BILINGUAL-DEVEL,0.1,0.01,0.19,0.9,0.3,(INCREMENT DOUBLE DIVIDE),(8 4),1,YES,1.1860046,2.9169922,0.28500366,1
900,BILINGUAL-DEVEL,0.1,0.01,0.19,0.9,0.3,(INCREMENT INCREMENT TIMES),(6 1),13,NO,2.623993,2.9450073,0.43499756,1
900,BILINGUAL-DEVEL,0.1,0.01,0.19,0.9,0.3,(TRIPLE INCREMENT ADD),(3 5),15,YES,1.1849976,2.9869995,0.28500366,1
900,BILINGUAL-DEVEL,0.1,0.01,0.19,0.9,0.3,(INCREMENT DOUBLE DIVIDE),(7 3),2,NO,3.0930176,2.9169922,0.43499756,1
900,BILINGUAL-DEVEL,0.1,0.01,0.19,0.9,0.3,(DOUBLE THIRD ADD),(1 6),4,YES,2.7680054,2.915985,0.28500366,1
900,BILINGUAL-DEVEL,0.1,0.01,0.19,0.9,0.3,(TRIPLE INCREMENT ADD),(2 1),7,NO,1.5480042,2.941986,0.43499756,1
900,BILINGUAL-DEVEL,0.1,0.01,0.19,0.9,0.3,(INCREMENT DOUBLE DIVIDE),(8 3),2,NO,2.7060242,2.9339905,0.43499756,1
900,BILINGUAL-DEVEL,0.1,0.01,0.19,0.9,0.3,(TRIPLE INCREMENT ADD),(2 4),9,NO,1.697998,2.9299927,0.43499756,1
900,BILINGUAL-DEVEL,0.1,0.01,0.19,0.9,0.3,(DOUBLE DOUBLE ADD),(8 6),27,NO,2.7780151,2.9309998,0.43499756,1
900,BILINGUAL-DEVEL,0.1,0.01,0.19,0.9,0.3,(INCREMENT DOUBLE DIVIDE),(9 3),1,YES,1.6809998,2.9129944,0.28500366,1
900,BILINGUAL-DEVEL,0.1,0.01,0.19,0.9,0.3,(INCREMENT DOUBLE DIVIDE),(3 2),1,YES,1.0240173,2.9179993,0.28497314,1
900,BILINGUAL-DEVEL,0.1,0.01,0.19,0.9,0.3,(THIRD HALF ADD),(9 7),5,NO,2.6240234,2.9140015,0.43499756,1
900,BILINGUAL-DEVEL,0.1,0.01,0.19,0.9,0.3,(INCREMENT DOUBLE DIVIDE),(7 3),2,NO,1.1739807,2.9500122,0.43499756,1
900,BILINGUAL-DEVEL,0.1,0.01,0.19,0.9,0.3,(TRIPLE INCREMENT ADD),(2 6),11,NO,2.2160034,2.9169922,0.43499756,1
900,BILINGUAL-DEVEL,0.1,0.01,0.19,0.9,0.3,(INCREMENT DOUBLE DIVIDE),(1 1),2,NO,1.1740112,2.9039917,0.43499756,1
900,BILINGUAL-DEVEL,0.1,0.01,0.19,0.9,0.3,(TRIPLE INCREMENT ADD),(8 8),33,YES,2.703003,2.92099,0.28500366,1
900,BILINGUAL-DEVEL,0.1,0.01,0.19,0.9,0.3,(TRIPLE INCREMENT ADD),(6 1),19,NO,1.526001,2.9049988,0.43499756,1
900,BILINGUAL-DEVEL,0.1,0.01,0.19,0.9,0.3,(DOUBLE TRIPLE TIMES),(5 1),30,YES,2.7780151,2.9190063,0.28500366,1
900,BILINGUAL-DEVEL,0.1,0.01,0.19,0.9,0.3,(THIRD HALF DIVIDE),(9 6),2,NO,2.6269836,2.9570007,0.43499756,1
900,BILINGUAL-DEVEL,0.1,0.01,0.19,0.9,0.3,(THIRD TRIPLE TIMES),(8 1),7,NO,2.7680054,2.9389954,0.43499756,1
900,BILINGUAL-DEVEL,0.1,0.01,0.19,0.9,0.3,(HALF TRIPLE TIMES),(4 1),5,NO,2.770996,2.941986,0.43499756,1
900,BILINGUAL-DEVEL,0.1,0.01,0.19,0.9,0.3,(DOUBLE INCREMENT TIMES),(1 3),8,YES,3.7560425,2.9299927,0.28497314,1
901,BILINGUAL-DEVEL,0.1,0.01,0.19,0.9,0.3,(INCREMENT DOUBLE DIVIDE),(5 3),1,YES,5.368,3.8909998,0.28499985,1
901,BILINGUAL-DEVEL,0.1,0.01,0.19,0.9,0.3,(INCREMENT DOUBLE DIVIDE),(1 1),2,NO,2.9890003,2.9329987,0.43499947,1
901,BILINGUAL-DEVEL,0.1,0.01,0.19,0.9,0.3,(TRIPLE INCREMENT ADD),(2 4),10,NO,4.2330017,3.6419983,0.43499947,1
901,BILINGUAL-DEVEL,0.1,0.01,0.19,0.9,0.3,(TRIPLE INCREMENT ADD),(1 4),7,NO,3.2110023,2.9329987,0.43500137,1
901,BILINGUAL-DEVEL,0.1,0.01,0.19,0.9,0.3,(TRIPLE INCREMENT ADD),(2 9),15,NO,2.1689987,2.941002,0.43499756,1
901,BILINGUAL-DEVEL,0.1,0.01,0.19,0.9,0.3,(TRIPLE INCREMENT ADD),(8 8),33,YES,2.649002,2.9570007,0.28499985,1
901,BILINGUAL-DEVEL,0.1,0.01,0.19,0.9,0.3,(INCREMENT DOUBLE DIVIDE),(3 1),1,NO,5.7400017,2.9149933,0.4350052,1
901,BILINGUAL-DEVEL,0.1,0.01,0.19,0.9,0.3,(TRIPLE INCREMENT ADD),(2 1),7,NO,3.6409988,2.9309998,0.43499756,1
901,BILINGUAL-DEVEL,0.1,0.01,0.19,0.9,0.3,(TRIPLE INCREMENT ADD),(6 4),23,YES,2.1259995,2.9580002,0.28500366,1
901,BILINGUAL-DEVEL,0.1,0.01,0.19,0.9,0.3,(INCREMENT DOUBLE DIVIDE),(7 3),1,YES,4.0319977,2.9489975,0.28500366,1
901,BILINGUAL-DEVEL,0.1,0.01,0.19,0.9,0.3,(TRIPLE INCREMENT ADD),(6 1),20,YES,2.4700012,2.8939972,0.28500366,1
901,BILINGUAL-DEVEL,0.1,0.01,0.19,0.9,0.3,(TRIPLE INCREMENT ADD),(2 6),12,NO,1.4829941,2.9380035,0.43499756,1
901,BILINGUAL-DEVEL,0.1,0.01,0.19,0.9,0.3,(TRIPLE INCREMENT ADD),(3 5),15,YES,1.1529999,2.965004,0.28499603,1
901,BILINGUAL-DEVEL,0.1,0.01,0.19,0.9,0.3,(INCREMENT DOUBLE DIVIDE),(3 2),1,YES,3.0080032,2.9600067,0.28500366,1
901,BILINGUAL-DEVEL,0.1,0.01,0.19,0.9,0.3,(INCREMENT DOUBLE DIVIDE),(7 3),2,NO,1.5,2.9550018,0.43499756,1
901,BILINGUAL-DEVEL,0.1,0.01,0.19,0.9,0.3,(INCREMENT DOUBLE DIVIDE),(8 3),1,YES,2.6179962,2.9049988,0.28500366,1
901,BILINGUAL-DEVEL,0.1,0.01,0.19,0.9,0.3,(TRIPLE INCREMENT ADD),(3 7),17,YES,1.9940033,2.9379883,0.28500366,1
901,BILINGUAL-DEVEL,0.1,0.01,0.19,0.9,0.3,(INCREMENT DOUBLE DIVIDE),(9 3),2,NO,3.8850098,2.9279938,0.43499756,1
901,BILINGUAL-DEVEL,0.1,0.01,0.19,0.9,0.3,(INCREMENT DOUBLE DIVIDE),(7 3),2,NO,1.1470032,2.9279938,0.43501282,1
901,BILINGUAL-DEVEL,0.1,0.01,0.19,0.9,0.3,(INCREMENT DOUBLE DIVIDE),(5 3),1,YES,1.1469879,2.9420013,0.28500366,1
901,BILINGUAL-DEVEL,0.1,0.01,0.19,0.9,0.3,(TRIPLE INCREMENT ADD),(3 7),17,YES,4.4299927,2.9210052,0.28500366,1
901,BILINGUAL-DEVEL,0.1,0.01,0.19,0.9,0.3,(DOUBLE DOUBLE DIVIDE),(4 3),2,NO,4.5569916,2.9570007,0.43501282,1
901,BILINGUAL-DEVEL,0.1,0.01,0.19,0.9,0.3,(HALF THIRD ADD),(6 9),5,NO,4.241989,3.6179962,0.43501282,1
901,BILINGUAL-DEVEL,0.1,0.01,0.19,0.9,0.3,(DOUBLE THIRD DIVIDE),(6 8),4,NO,3.269989,2.9390106,0.43499756,1
901,BILINGUAL-DEVEL,0.1,0.01,0.19,0.9,0.3,(INCREMENT DOUBLE DIVIDE),(3 1),2,YES,1.1529999,2.9210052,0.2849884,1
901,BILINGUAL-DEVEL,0.1,0.01,0.19,0.9,0.3,(INCREMENT THIRD TIMES),(3 6),7,NO,3.1159973,2.9200134,0.43499756,1
901,BILINGUAL-DEVEL,0.1,0.01,0.19,0.9,0.3,(INCREMENT THIRD TIMES),(4 7),10,YES,5.7350006,2.9689941,0.28500366,1
901,BILINGUAL-DEVEL,0.1,0.01,0.19,0.9,0.3,(TRIPLE INCREMENT TIMES),(2 7),48,YES,3.600006,2.927002,0.28500366,1
901,BILINGUAL-DEVEL,0.1,0.01,0.19,0.9,0.3,(TRIPLE INCREMENT DIVIDE),(7 6),3,YES,3.1169739,2.933014,0.28500366,1
901,BILINGUAL-DEVEL,0.1,0.01,0.19,0.9,0.3,(TRIPLE TRIPLE ADD),(3 8),33,YES,4.087982,3.6610107,0.28500366,1
901,BILINGUAL-DEVEL,0.1,0.01,0.19,0.9,0.3,(DOUBLE THIRD TIMES),(4 7),17,NO,3.6109924,3.0150146,0.43499756,1
901,BILINGUAL-DEVEL,0.1,0.01,0.19,0.9,0.3,(TRIPLE INCREMENT ADD),(2 9),14,NO,7.0749817,2.9400024,0.43499756,1
901,BILINGUAL-DEVEL,0.1,0.01,0.19,0.9,0.3,(TRIPLE INCREMENT ADD),(6 4),23,YES,1.6370239,2.9279785,0.28500366,1
901,BILINGUAL-DEVEL,0.1,0.01,0.19,0.9,0.3,(TRIPLE INCREMENT ADD),(1 4),7,NO,0.99801636,2.9309998,0.43499756,1
901,BILINGUAL-DEVEL,0.1,0.01,0.19,0.9,0.3,(DOUBLE TRIPLE DIVIDE),(3 2),1,YES,3.7619934,2.927002,0.28500366,1
901,BILINGUAL-DEVEL,0.1,0.01,0.19,0.9,0.3,(INCREMENT HALF ADD),(4 7),8,YES,4.0839844,3.6490173,0.28500366,1
901,BILINGUAL-DEVEL,0.1,0.01,0.19,0.9,0.3,(INCREMENT DOUBLE DIVIDE),(5 3),2,NO,4.5009766,2.9410095,0.43499756,1
901,BILINGUAL-DEVEL,0.1,0.01,0.19,0.9,0.3,(INCREMENT DOUBLE DIVIDE),(7 3),2,NO,3.1109924,2.973999,0.43499756,1
