idx,model_name,alpha,ans,imaginal-delay,le,nu,Rule,Inputs,Probe,ProbeCorrect,EncodingRT,ExecutionRT,ProbeRT,Accuracy
47200,BILINGUAL-DEVEL,0.0,0.05,0.2,1.0,0.4,(INCREMENT DOUBLE DIVIDE),(5 3),1,YES,2.932,3.5140002,0.28499985,1
47200,BILINGUAL-DEVEL,0.0,0.05,0.2,1.0,0.4,(INCREMENT DOUBLE DIVIDE),(1 1),2,NO,2.6879997,2.7740011,0.43499947,1
47200,BILINGUAL-DEVEL,0.0,0.05,0.2,1.0,0.4,(TRIPLE INCREMENT ADD),(2 4),10,NO,1.177,3.3139992,0.43500137,1
47200,BILINGUAL-DEVEL,0.0,0.05,0.2,1.0,0.4,(TRIPLE INCREMENT ADD),(1 4),7,NO,4.483,2.7060013,0.43500137,1
47200,BILINGUAL-DEVEL,0.0,0.05,0.2,1.0,0.4,(TRIPLE INCREMENT ADD),(2 9),15,NO,1.7339973,2.771,0.43500137,1
47200,BILINGUAL-DEVEL,0.0,0.05,0.2,1.0,0.4,(TRIPLE INCREMENT ADD),(8 8),33,YES,1.7140007,2.6730003,0.28499985,1
47200,BILINGUAL-DEVEL,0.0,0.05,0.2,1.0,0.4,(INCREMENT DOUBLE DIVIDE),(3 1),1,NO,6.0579987,2.716999,0.43500137,1
47200,BILINGUAL-DEVEL,0.0,0.05,0.2,1.0,0.4,(TRIPLE INCREMENT ADD),(2 1),7,NO,2.7809982,2.9140015,0.43499756,1
47200,BILINGUAL-DEVEL,0.0,0.05,0.2,1.0,0.4,(TRIPLE INCREMENT ADD),(6 4),23,YES,1.1790009,2.9290009,0.28500366,1
47200,BILINGUAL-DEVEL,0.0,0.05,0.2,1.0,0.4,(INCREMENT DOUBLE DIVIDE),(7 3),1,YES,1.0199966,2.7220001,0.28500366,1
47200,BILINGUAL-DEVEL,0.0,0.05,0.2,1.0,0.4,(TRIPLE INCREMENT ADD),(6 1),20,YES,1.0469971,2.677002,0.28499603,1
47200,BILINGUAL-DEVEL,0.0,0.05,0.2,1.0,0.4,(TRIPLE INCREMENT ADD),(2 6),12,NO,2.0910034,2.637001,0.43499756,1
47200,BILINGUAL-DEVEL,0.0,0.05,0.2,1.0,0.4,(TRIPLE INCREMENT ADD),(3 5),15,YES,1.6719971,2.6010056,0.28499603,1
47200,BILINGUAL-DEVEL,0.0,0.05,0.2,1.0,0.4,(INCREMENT DOUBLE DIVIDE),(3 2),1,YES,2.1409988,2.901001,0.28500366,1
47200,BILINGUAL-DEVEL,0.0,0.05,0.2,1.0,0.4,(INCREMENT DOUBLE DIVIDE),(7 3),2,NO,1.0390015,2.746994,0.4350052,1
47200,BILINGUAL-DEVEL,0.0,0.05,0.2,1.0,0.4,(INCREMENT DOUBLE DIVIDE),(8 3),1,YES,1.1779938,2.8630066,0.28500366,1
47200,BILINGUAL-DEVEL,0.0,0.05,0.2,1.0,0.4,(TRIPLE INCREMENT ADD),(3 7),17,YES,1.5499878,2.9230042,0.28500366,1
47200,BILINGUAL-DEVEL,0.0,0.05,0.2,1.0,0.4,(INCREMENT DOUBLE DIVIDE),(9 3),2,NO,1.5769958,2.998001,0.43499756,1
47200,BILINGUAL-DEVEL,0.0,0.05,0.2,1.0,0.4,(INCREMENT DOUBLE DIVIDE),(7 3),2,NO,1.7120056,2.7050018,0.43499756,1
47200,BILINGUAL-DEVEL,0.0,0.05,0.2,1.0,0.4,(INCREMENT DOUBLE DIVIDE),(5 3),1,YES,1.6829987,2.7890015,0.28500366,1
47200,BILINGUAL-DEVEL,0.0,0.05,0.2,1.0,0.4,(TRIPLE INCREMENT ADD),(3 7),17,YES,1.04599,2.8860016,0.28500366,1
47200,BILINGUAL-DEVEL,0.0,0.05,0.2,1.0,0.4,(DOUBLE DOUBLE DIVIDE),(4 3),2,NO,1.0359955,2.7860107,0.43499756,1
47200,BILINGUAL-DEVEL,0.0,0.05,0.2,1.0,0.4,(HALF THIRD ADD),(6 9),5,NO,1.1779938,3.5079956,0.43501282,1
47200,BILINGUAL-DEVEL,0.0,0.05,0.2,1.0,0.4,(DOUBLE THIRD DIVIDE),(6 8),4,NO,1.1809998,2.7599945,0.43499756,1
47200,BILINGUAL-DEVEL,0.0,0.05,0.2,1.0,0.4,(INCREMENT DOUBLE DIVIDE),(3 1),2,YES,1.6970062,2.8819885,0.28500366,1
47200,BILINGUAL-DEVEL,0.0,0.05,0.2,1.0,0.4,(INCREMENT THIRD TIMES),(3 6),7,NO,1.0359955,2.9470062,0.43499756,1
47200,BILINGUAL-DEVEL,0.0,0.05,0.2,1.0,0.4,(INCREMENT THIRD TIMES),(4 7),10,YES,4.4950104,2.7669983,0.2849884,1
47200,BILINGUAL-DEVEL,0.0,0.05,0.2,1.0,0.4,(TRIPLE INCREMENT TIMES),(2 7),48,YES,1.0279999,2.7180023,0.28500366,1
47200,BILINGUAL-DEVEL,0.0,0.05,0.2,1.0,0.4,(TRIPLE INCREMENT DIVIDE),(7 6),3,YES,1.0299988,2.796997,0.28500366,1
47200,BILINGUAL-DEVEL,0.0,0.05,0.2,1.0,0.4,(TRIPLE TRIPLE ADD),(3 8),33,YES,1.5659943,3.6140137,0.2849884,1
47200,BILINGUAL-DEVEL,0.0,0.05,0.2,1.0,0.4,(DOUBLE THIRD TIMES),(4 7),17,NO,1.0130005,2.7669983,0.43501282,1
47200,BILINGUAL-DEVEL,0.0,0.05,0.2,1.0,0.4,(TRIPLE INCREMENT ADD),(2 9),14,NO,2.8419952,2.8299866,0.43499756,1
47200,BILINGUAL-DEVEL,0.0,0.05,0.2,1.0,0.4,(TRIPLE INCREMENT ADD),(6 4),23,YES,2.7799988,2.7380066,0.28500366,1
47200,BILINGUAL-DEVEL,0.0,0.05,0.2,1.0,0.4,(TRIPLE INCREMENT ADD),(1 4),7,NO,1.0419922,2.703003,0.43499756,1
47200,BILINGUAL-DEVEL,0.0,0.05,0.2,1.0,0.4,(DOUBLE TRIPLE DIVIDE),(3 2),1,YES,2.2070007,2.6650085,0.28500366,1
47200,BILINGUAL-DEVEL,0.0,0.05,0.2,1.0,0.4,(INCREMENT HALF ADD),(4 7),8,YES,1.0220032,3.6390076,0.28497314,1
47200,BILINGUAL-DEVEL,0.0,0.05,0.2,1.0,0.4,(INCREMENT DOUBLE DIVIDE),(5 3),2,NO,1.0240173,2.7739868,0.43499756,1
47200,BILINGUAL-DEVEL,0.0,0.05,0.2,1.0,0.4,(INCREMENT DOUBLE DIVIDE),(7 3),2,NO,3.276001,2.8460083,0.43499756,1
47200,BILINGUAL-DEVEL,0.0,0.05,0.2,1.0,0.4,(INCREMENT DOUBLE DIVIDE),(8 4),1,YES,1.6750183,2.967987,0.28500366,1
47200,BILINGUAL-DEVEL,0.0,0.05,0.2,1.0,0.4,(INCREMENT INCREMENT TIMES),(6 1),13,NO,1.0279846,2.9100037,0.43499756,1
47200,BILINGUAL-DEVEL,0.0,0.05,0.2,1.0,0.4,(TRIPLE INCREMENT ADD),(3 5),15,YES,2.7590027,2.9030151,0.28500366,1
47200,BILINGUAL-DEVEL,0.0,0.05,0.2,1.0,0.4,(INCREMENT DOUBLE DIVIDE),(7 3),2,NO,1.0359802,2.9640198,0.43499756,1
47200,BILINGUAL-DEVEL,0.0,0.05,0.2,1.0,0.4,(DOUBLE THIRD ADD),(1 6),4,YES,1.1759949,2.723999,0.28500366,1
47200,BILINGUAL-DEVEL,0.0,0.05,0.2,1.0,0.4,(TRIPLE INCREMENT ADD),(2 1),7,NO,1.5589905,3.027008,0.43499756,1
47200,BILINGUAL-DEVEL,0.0,0.05,0.2,1.0,0.4,(INCREMENT DOUBLE DIVIDE),(8 3),2,NO,2.7200012,2.7590027,0.43499756,1
