idx,model_name,alpha,ans,imaginal-delay,le,nu,Rule,Inputs,Probe,ProbeCorrect,EncodingRT,ExecutionRT,ProbeRT,Accuracy
300,BILINGUAL-DEVEL,0.0,0.01,0.19,0.9,0.3,(INCREMENT DOUBLE DIVIDE),(5 3),1,YES,5.372,3.9129996,0.28499985,1
300,BILINGUAL-DEVEL,0.0,0.01,0.19,0.9,0.3,(INCREMENT DOUBLE DIVIDE),(1 1),2,NO,3.9379997,2.927,0.43500137,1
300,BILINGUAL-DEVEL,0.0,0.01,0.19,0.9,0.3,(TRIPLE INCREMENT ADD),(2 4),10,NO,4.2349987,3.67,0.43499756,1
300,BILINGUAL-DEVEL,0.0,0.01,0.19,0.9,0.3,(TRIPLE INCREMENT ADD),(1 4),7,NO,4.6710014,2.952999,0.43500137,1
300,BILINGUAL-DEVEL,0.0,0.01,0.19,0.9,0.3,(TRIPLE INCREMENT ADD),(2 9),15,NO,3.0769997,2.9379997,0.43500137,1
300,BILINGUAL-DEVEL,0.0,0.01,0.19,0.9,0.3,(TRIPLE INCREMENT ADD),(8 8),33,YES,1.1509972,2.9449997,0.28499985,1
300,BILINGUAL-DEVEL,0.0,0.01,0.19,0.9,0.3,(INCREMENT DOUBLE DIVIDE),(3 1),1,NO,9.0130005,2.9940033,0.43499756,1
300,BILINGUAL-DEVEL,0.0,0.01,0.19,0.9,0.3,(TRIPLE INCREMENT ADD),(2 1),7,NO,4.5770035,2.9199982,0.43499756,1
300,BILINGUAL-DEVEL,0.0,0.01,0.19,0.9,0.3,(TRIPLE INCREMENT ADD),(6 4),23,YES,3.524002,2.9400024,0.28499603,1
300,BILINGUAL-DEVEL,0.0,0.01,0.19,0.9,0.3,(INCREMENT DOUBLE DIVIDE),(7 3),1,YES,3.4039993,2.9349976,0.28500366,1
300,BILINGUAL-DEVEL,0.0,0.01,0.19,0.9,0.3,(TRIPLE INCREMENT ADD),(6 1),20,YES,1.9400024,2.9570007,0.28499603,1
300,BILINGUAL-DEVEL,0.0,0.01,0.19,0.9,0.3,(TRIPLE INCREMENT ADD),(2 6),12,NO,0.99300385,2.9509964,0.43499756,1
300,BILINGUAL-DEVEL,0.0,0.01,0.19,0.9,0.3,(TRIPLE INCREMENT ADD),(3 5),15,YES,1.1450043,2.9430008,0.28500366,1
300,BILINGUAL-DEVEL,0.0,0.01,0.19,0.9,0.3,(INCREMENT DOUBLE DIVIDE),(3 2),1,YES,2.447998,2.9579926,0.28500366,1
300,BILINGUAL-DEVEL,0.0,0.01,0.19,0.9,0.3,(INCREMENT DOUBLE DIVIDE),(7 3),2,NO,1.4759979,2.9550018,0.43499756,1
300,BILINGUAL-DEVEL,0.0,0.01,0.19,0.9,0.3,(INCREMENT DOUBLE DIVIDE),(8 3),1,YES,1.6220093,2.9389954,0.28500366,1
300,BILINGUAL-DEVEL,0.0,0.01,0.19,0.9,0.3,(TRIPLE INCREMENT ADD),(3 7),17,YES,2.9179993,2.949997,0.28500366,1
300,BILINGUAL-DEVEL,0.0,0.01,0.19,0.9,0.3,(INCREMENT DOUBLE DIVIDE),(9 3),2,NO,1.9459991,2.9489899,0.43501282,1
300,BILINGUAL-DEVEL,0.0,0.01,0.19,0.9,0.3,(INCREMENT DOUBLE DIVIDE),(7 3),2,NO,1.1459961,2.9329987,0.43499756,1
300,BILINGUAL-DEVEL,0.0,0.01,0.19,0.9,0.3,(INCREMENT DOUBLE DIVIDE),(5 3),1,YES,2.0910034,2.9440002,0.28500366,1
300,BILINGUAL-DEVEL,0.0,0.01,0.19,0.9,0.3,(TRIPLE INCREMENT ADD),(3 7),17,YES,2.4379883,2.956009,0.2849884,1
300,BILINGUAL-DEVEL,0.0,0.01,0.19,0.9,0.3,(DOUBLE DOUBLE DIVIDE),(4 3),2,NO,4.0850067,2.9210052,0.43499756,1
300,BILINGUAL-DEVEL,0.0,0.01,0.19,0.9,0.3,(HALF THIRD ADD),(6 9),5,NO,3.75,3.6539917,0.43501282,1
300,BILINGUAL-DEVEL,0.0,0.01,0.19,0.9,0.3,(DOUBLE THIRD DIVIDE),(6 8),4,NO,4.7119904,2.9580078,0.43499756,1
300,BILINGUAL-DEVEL,0.0,0.01,0.19,0.9,0.3,(INCREMENT DOUBLE DIVIDE),(3 1),2,YES,3.0610046,2.9379883,0.28500366,1
300,BILINGUAL-DEVEL,0.0,0.01,0.19,0.9,0.3,(INCREMENT THIRD TIMES),(3 6),7,NO,3.602005,2.9459991,0.43499756,1
300,BILINGUAL-DEVEL,0.0,0.01,0.19,0.9,0.3,(INCREMENT THIRD TIMES),(4 7),10,YES,4.7089996,2.905014,0.28497314,1
300,BILINGUAL-DEVEL,0.0,0.01,0.19,0.9,0.3,(TRIPLE INCREMENT TIMES),(2 7),48,YES,4.5700073,2.9309998,0.28500366,1
300,BILINGUAL-DEVEL,0.0,0.01,0.19,0.9,0.3,(TRIPLE INCREMENT DIVIDE),(7 6),3,YES,4.557007,2.967987,0.28500366,1
300,BILINGUAL-DEVEL,0.0,0.01,0.19,0.9,0.3,(TRIPLE TRIPLE ADD),(3 8),33,YES,3.6100159,3.7129822,0.28500366,1
300,BILINGUAL-DEVEL,0.0,0.01,0.19,0.9,0.3,(DOUBLE THIRD TIMES),(4 7),17,NO,4.5599976,2.8609924,0.43499756,1
300,BILINGUAL-DEVEL,0.0,0.01,0.19,0.9,0.3,(TRIPLE INCREMENT ADD),(2 9),14,NO,6.5390015,2.9370117,0.43499756,1
300,BILINGUAL-DEVEL,0.0,0.01,0.19,0.9,0.3,(TRIPLE INCREMENT ADD),(6 4),23,YES,3.0670166,2.9329834,0.28500366,1
300,BILINGUAL-DEVEL,0.0,0.01,0.19,0.9,0.3,(TRIPLE INCREMENT ADD),(1 4),7,NO,2.8840027,2.945984,0.43502808,1
300,BILINGUAL-DEVEL,0.0,0.01,0.19,0.9,0.3,(DOUBLE TRIPLE DIVIDE),(3 2),1,YES,4.6999817,2.95401,0.28500366,1
300,BILINGUAL-DEVEL,0.0,0.01,0.19,0.9,0.3,(INCREMENT HALF ADD),(4 7),8,YES,4.5599976,3.6349792,0.28500366,1
