idx,model_name,alpha,ans,imaginal-delay,le,nu,Rule,Inputs,Probe,ProbeCorrect,EncodingRT,ExecutionRT,ProbeRT,Accuracy
12700,MONOLINGUAL-DEVEL,0.3,0.02,0.23,0.9,0.1,(INCREMENT DOUBLE DIVIDE),(5 3),1,YES,4.23,4.9719996,0.2850008,1
12700,MONOLINGUAL-DEVEL,0.3,0.02,0.23,0.9,0.1,(INCREMENT DOUBLE DIVIDE),(1 1),2,NO,3.3009996,3.730999,0.43500137,1
12700,MONOLINGUAL-DEVEL,0.3,0.02,0.23,0.9,0.1,(TRIPLE INCREMENT ADD),(2 4),10,NO,4.524,4.3569984,0.43500137,1
12700,MONOLINGUAL-DEVEL,0.3,0.02,0.23,0.9,0.1,(TRIPLE INCREMENT ADD),(1 4),7,NO,3.3649979,4.040001,0.43500137,1
12700,MONOLINGUAL-DEVEL,0.3,0.02,0.23,0.9,0.1,(TRIPLE INCREMENT ADD),(2 9),15,NO,2.8009987,4.052002,0.43499756,1
12700,MONOLINGUAL-DEVEL,0.3,0.02,0.23,0.9,0.1,(TRIPLE INCREMENT ADD),(8 8),33,YES,1.7240028,3.7080002,0.28499603,1
12700,MONOLINGUAL-DEVEL,0.3,0.02,0.23,0.9,0.1,(INCREMENT DOUBLE DIVIDE),(3 1),1,NO,9.491005,3.3949966,0.43499756,1
12700,MONOLINGUAL-DEVEL,0.3,0.02,0.23,0.9,0.1,(TRIPLE INCREMENT ADD),(2 1),7,NO,2.2890015,4.0699997,0.4350052,1
12700,MONOLINGUAL-DEVEL,0.3,0.02,0.23,0.9,0.1,(TRIPLE INCREMENT ADD),(6 4),23,YES,1.7409973,4.0339966,0.28500366,1
12700,MONOLINGUAL-DEVEL,0.3,0.02,0.23,0.9,0.1,(INCREMENT DOUBLE DIVIDE),(7 3),1,YES,1.0569992,3.3170013,0.28499603,1
12700,MONOLINGUAL-DEVEL,0.3,0.02,0.23,0.9,0.1,(TRIPLE INCREMENT ADD),(6 1),20,YES,2.649002,4.0550003,0.28500366,1
12700,MONOLINGUAL-DEVEL,0.3,0.02,0.23,0.9,0.1,(TRIPLE INCREMENT ADD),(2 6),12,NO,2.0939941,4.026001,0.43499756,1
12700,MONOLINGUAL-DEVEL,0.3,0.02,0.23,0.9,0.1,(TRIPLE INCREMENT ADD),(3 5),15,YES,1.7180023,3.5619965,0.28500366,1
12700,MONOLINGUAL-DEVEL,0.3,0.02,0.23,0.9,0.1,(INCREMENT DOUBLE DIVIDE),(3 2),1,YES,3.223999,3.6600037,0.28500366,1
