idx,model_name,alpha,ans,imaginal-delay,le,nu,Rule,Inputs,Probe,ProbeCorrect,EncodingRT,ExecutionRT,ProbeRT,Accuracy
5100,MONOLINGUAL-DEVEL,0.2,0.01,0.24,1.0,0.3,(INCREMENT DOUBLE DIVIDE),(5 3),1,YES,1.42,5.235,0.28499985,1
5100,MONOLINGUAL-DEVEL,0.2,0.01,0.24,1.0,0.3,(INCREMENT DOUBLE DIVIDE),(1 1),2,NO,5.394,3.5100002,0.43499947,1
5100,MONOLINGUAL-DEVEL,0.2,0.01,0.24,1.0,0.3,(TRIPLE INCREMENT ADD),(2 4),10,NO,1.2220001,4.5880013,0.43499947,1
5100,MONOLINGUAL-DEVEL,0.2,0.01,0.24,1.0,0.3,(TRIPLE INCREMENT ADD),(1 4),7,NO,5.5319996,3.9420013,0.43499756,1
5100,MONOLINGUAL-DEVEL,0.2,0.01,0.24,1.0,0.3,(TRIPLE INCREMENT ADD),(2 9),15,NO,1.7580032,3.501999,0.43499756,1
5100,MONOLINGUAL-DEVEL,0.2,0.01,0.24,1.0,0.3,(TRIPLE INCREMENT ADD),(8 8),33,YES,1.2090034,3.9659996,0.28499985,1
5100,MONOLINGUAL-DEVEL,0.2,0.01,0.24,1.0,0.3,(INCREMENT DOUBLE DIVIDE),(3 1),1,NO,4.0149956,3.267006,0.43499756,1
5100,MONOLINGUAL-DEVEL,0.2,0.01,0.24,1.0,0.3,(TRIPLE INCREMENT ADD),(2 1),7,NO,1.2249985,3.947998,0.4350052,1
5100,MONOLINGUAL-DEVEL,0.2,0.01,0.24,1.0,0.3,(TRIPLE INCREMENT ADD),(6 4),23,YES,1.223999,3.5319977,0.28500366,1
5100,MONOLINGUAL-DEVEL,0.2,0.01,0.24,1.0,0.3,(INCREMENT DOUBLE DIVIDE),(7 3),1,YES,2.213997,3.2669983,0.28500366,1
5100,MONOLINGUAL-DEVEL,0.2,0.01,0.24,1.0,0.3,(TRIPLE INCREMENT ADD),(6 1),20,YES,1.074997,3.9640045,0.28499603,1
5100,MONOLINGUAL-DEVEL,0.2,0.01,0.24,1.0,0.3,(TRIPLE INCREMENT ADD),(2 6),12,NO,1.0719986,3.604004,0.43499756,1
5100,MONOLINGUAL-DEVEL,0.2,0.01,0.24,1.0,0.3,(TRIPLE INCREMENT ADD),(3 5),15,YES,1.762001,3.5999985,0.28500366,1
5100,MONOLINGUAL-DEVEL,0.2,0.01,0.24,1.0,0.3,(INCREMENT DOUBLE DIVIDE),(3 2),1,YES,1.086998,3.2580032,0.28500366,1
5100,MONOLINGUAL-DEVEL,0.2,0.01,0.24,1.0,0.3,(INCREMENT DOUBLE DIVIDE),(7 3),2,NO,1.6409912,3.5660095,0.43499756,1
5100,MONOLINGUAL-DEVEL,0.2,0.01,0.24,1.0,0.3,(INCREMENT DOUBLE DIVIDE),(8 3),1,YES,1.222992,3.248001,0.28500366,1
5100,MONOLINGUAL-DEVEL,0.2,0.01,0.24,1.0,0.3,(TRIPLE INCREMENT ADD),(3 7),17,YES,1.0709991,3.9210052,0.2849884,1
5100,MONOLINGUAL-DEVEL,0.2,0.01,0.24,1.0,0.3,(INCREMENT DOUBLE DIVIDE),(9 3),2,NO,1.0740051,3.5299988,0.43499756,1
5100,MONOLINGUAL-DEVEL,0.2,0.01,0.24,1.0,0.3,(INCREMENT DOUBLE DIVIDE),(7 3),2,NO,1.2180023,3.2279968,0.43499756,1
5100,MONOLINGUAL-DEVEL,0.2,0.01,0.24,1.0,0.3,(INCREMENT DOUBLE DIVIDE),(5 3),1,YES,1.2160034,3.2580109,0.2849884,1
5100,MONOLINGUAL-DEVEL,0.2,0.01,0.24,1.0,0.3,(TRIPLE INCREMENT ADD),(3 7),17,YES,1.6269989,3.2330017,0.28500366,1
5100,MONOLINGUAL-DEVEL,0.2,0.01,0.24,1.0,0.3,(DOUBLE DOUBLE DIVIDE),(4 3),2,NO,1.0709991,3.930008,0.43499756,1
5100,MONOLINGUAL-DEVEL,0.2,0.01,0.24,1.0,0.3,(HALF THIRD ADD),(6 9),5,NO,2.3419952,3.5859985,0.43499756,1
5100,MONOLINGUAL-DEVEL,0.2,0.01,0.24,1.0,0.3,(DOUBLE THIRD DIVIDE),(6 8),4,NO,1.2200012,3.9150085,0.43499756,1
5100,MONOLINGUAL-DEVEL,0.2,0.01,0.24,1.0,0.3,(INCREMENT DOUBLE DIVIDE),(3 1),2,YES,1.220993,3.2600098,0.2849884,1
