idx,model_name,alpha,ans,imaginal-delay,le,nu,Rule,Inputs,Probe,ProbeCorrect,EncodingRT,ExecutionRT,ProbeRT,Accuracy
34900,MONOLINGUAL-DEVEL,0.4,0.04,0.2,0.9,0.1,(INCREMENT DOUBLE DIVIDE),(5 3),1,YES,3.53,4.8039994,0.2850008,1
34900,MONOLINGUAL-DEVEL,0.4,0.04,0.2,0.9,0.1,(INCREMENT DOUBLE DIVIDE),(1 1),2,NO,2.6939993,3.6049995,0.43500137,1
34900,MONOLINGUAL-DEVEL,0.4,0.04,0.2,0.9,0.1,(TRIPLE INCREMENT ADD),(2 4),10,NO,2.309,4.3519993,0.43499947,1
34900,MONOLINGUAL-DEVEL,0.4,0.04,0.2,0.9,0.1,(TRIPLE INCREMENT ADD),(1 4),7,NO,5.5370007,4.044998,0.43500137,1
34900,MONOLINGUAL-DEVEL,0.4,0.04,0.2,0.9,0.1,(TRIPLE INCREMENT ADD),(2 9),15,NO,1.6969986,3.9810028,0.43499756,1
34900,MONOLINGUAL-DEVEL,0.4,0.04,0.2,0.9,0.1,(TRIPLE INCREMENT ADD),(8 8),33,YES,1.1760025,3.3549995,0.28499985,1
34900,MONOLINGUAL-DEVEL,0.4,0.04,0.2,0.9,0.1,(INCREMENT DOUBLE DIVIDE),(3 1),1,NO,5.543003,3.7439957,0.43499756,1
34900,MONOLINGUAL-DEVEL,0.4,0.04,0.2,0.9,0.1,(TRIPLE INCREMENT ADD),(2 1),7,NO,3.2540054,3.5329971,0.43499756,1
34900,MONOLINGUAL-DEVEL,0.4,0.04,0.2,0.9,0.1,(TRIPLE INCREMENT ADD),(6 4),23,YES,1.6680069,3.5399933,0.28500366,1
34900,MONOLINGUAL-DEVEL,0.4,0.04,0.2,0.9,0.1,(INCREMENT DOUBLE DIVIDE),(7 3),1,YES,2.6549988,3.4810028,0.28499603,1
34900,MONOLINGUAL-DEVEL,0.4,0.04,0.2,0.9,0.1,(TRIPLE INCREMENT ADD),(6 1),20,YES,1.0309982,3.5860062,0.28499603,1
34900,MONOLINGUAL-DEVEL,0.4,0.04,0.2,0.9,0.1,(TRIPLE INCREMENT ADD),(2 6),12,NO,1.0319977,3.486,0.4350052,1
34900,MONOLINGUAL-DEVEL,0.4,0.04,0.2,0.9,0.1,(TRIPLE INCREMENT ADD),(3 5),15,YES,1.1709976,3.7870026,0.28499603,1
34900,MONOLINGUAL-DEVEL,0.4,0.04,0.2,0.9,0.1,(INCREMENT DOUBLE DIVIDE),(3 2),1,YES,7.742996,3.6200104,0.2849884,1
34900,MONOLINGUAL-DEVEL,0.4,0.04,0.2,0.9,0.1,(INCREMENT DOUBLE DIVIDE),(7 3),2,NO,1.0100098,3.496994,0.43499756,1
34900,MONOLINGUAL-DEVEL,0.4,0.04,0.2,0.9,0.1,(INCREMENT DOUBLE DIVIDE),(8 3),1,YES,1.1610107,3.5069885,0.28500366,1
34900,MONOLINGUAL-DEVEL,0.4,0.04,0.2,0.9,0.1,(TRIPLE INCREMENT ADD),(3 7),17,YES,1.0330048,3.3470001,0.28500366,1
34900,MONOLINGUAL-DEVEL,0.4,0.04,0.2,0.9,0.1,(INCREMENT DOUBLE DIVIDE),(9 3),2,NO,1.5059967,3.6889954,0.43499756,1
34900,MONOLINGUAL-DEVEL,0.4,0.04,0.2,0.9,0.1,(INCREMENT DOUBLE DIVIDE),(7 3),2,NO,1.1679993,3.5340118,0.43499756,1
34900,MONOLINGUAL-DEVEL,0.4,0.04,0.2,0.9,0.1,(INCREMENT DOUBLE DIVIDE),(5 3),1,YES,1.1569977,3.5319977,0.28500366,1
34900,MONOLINGUAL-DEVEL,0.4,0.04,0.2,0.9,0.1,(TRIPLE INCREMENT ADD),(3 7),17,YES,2.0789948,3.779007,0.2849884,1
34900,MONOLINGUAL-DEVEL,0.4,0.04,0.2,0.9,0.1,(DOUBLE DOUBLE DIVIDE),(4 3),2,NO,3.1630096,3.5159912,0.43501282,1
34900,MONOLINGUAL-DEVEL,0.4,0.04,0.2,0.9,0.1,(HALF THIRD ADD),(6 9),5,NO,2.8569946,3.7160034,0.43499756,1
34900,MONOLINGUAL-DEVEL,0.4,0.04,0.2,0.9,0.1,(DOUBLE THIRD DIVIDE),(6 8),4,NO,3.8450012,3.472992,0.43499756,1
34900,MONOLINGUAL-DEVEL,0.4,0.04,0.2,0.9,0.1,(INCREMENT DOUBLE DIVIDE),(3 1),2,YES,1.1690063,3.177002,0.28500366,1
34900,MONOLINGUAL-DEVEL,0.4,0.04,0.2,0.9,0.1,(INCREMENT THIRD TIMES),(3 6),7,NO,3.196991,4.5200043,0.43499756,1
34900,MONOLINGUAL-DEVEL,0.4,0.04,0.2,0.9,0.1,(INCREMENT THIRD TIMES),(4 7),10,YES,3.3419952,3.6020203,0.28497314,1
34900,MONOLINGUAL-DEVEL,0.4,0.04,0.2,0.9,0.1,(TRIPLE INCREMENT TIMES),(2 7),48,YES,4.154999,3.6880188,0.28500366,1
34900,MONOLINGUAL-DEVEL,0.4,0.04,0.2,0.9,0.1,(TRIPLE INCREMENT DIVIDE),(7 6),3,YES,2.6779785,3.756012,0.28500366,1
34900,MONOLINGUAL-DEVEL,0.4,0.04,0.2,0.9,0.1,(TRIPLE TRIPLE ADD),(3 8),33,YES,3.1889954,3.6749878,0.28500366,1
34900,MONOLINGUAL-DEVEL,0.4,0.04,0.2,0.9,0.1,(DOUBLE THIRD TIMES),(4 7),17,NO,3.179016,3.6489868,0.43499756,1
34900,MONOLINGUAL-DEVEL,0.4,0.04,0.2,0.9,0.1,(TRIPLE INCREMENT ADD),(2 9),14,NO,3.330017,3.6619873,0.43499756,1
34900,MONOLINGUAL-DEVEL,0.4,0.04,0.2,0.9,0.1,(TRIPLE INCREMENT ADD),(6 4),23,YES,3.2630005,3.572998,0.28500366,1
34900,MONOLINGUAL-DEVEL,0.4,0.04,0.2,0.9,0.1,(TRIPLE INCREMENT ADD),(1 4),7,NO,1.0370178,3.7200012,0.43499756,1
34900,MONOLINGUAL-DEVEL,0.4,0.04,0.2,0.9,0.1,(DOUBLE TRIPLE DIVIDE),(3 2),1,YES,2.8110046,3.5529785,0.28500366,1
34900,MONOLINGUAL-DEVEL,0.4,0.04,0.2,0.9,0.1,(INCREMENT HALF ADD),(4 7),8,YES,2.6839905,3.6700134,0.28500366,1
