idx,model_name,alpha,ans,imaginal-delay,le,nu,Rule,Inputs,Probe,ProbeCorrect,EncodingRT,ExecutionRT,ProbeRT,Accuracy
16900,MONOLINGUAL-DEVEL,0.4,0.02,0.23,1.0,0.1,(INCREMENT DOUBLE DIVIDE),(5 3),1,YES,1.415,5.145,0.28499985,1
16900,MONOLINGUAL-DEVEL,0.4,0.02,0.23,1.0,0.1,(INCREMENT DOUBLE DIVIDE),(1 1),2,NO,3.1289997,3.5609999,0.43499947,1
16900,MONOLINGUAL-DEVEL,0.4,0.02,0.23,1.0,0.1,(TRIPLE INCREMENT ADD),(2 4),10,NO,1.2080002,4.573,0.43500137,1
16900,MONOLINGUAL-DEVEL,0.4,0.02,0.23,1.0,0.1,(TRIPLE INCREMENT ADD),(1 4),7,NO,4.343998,3.8860016,0.43500137,1
16900,MONOLINGUAL-DEVEL,0.4,0.02,0.23,1.0,0.1,(TRIPLE INCREMENT ADD),(2 9),15,NO,1.2299995,3.6229973,0.43500137,1
16900,MONOLINGUAL-DEVEL,0.4,0.02,0.23,1.0,0.1,(TRIPLE INCREMENT ADD),(8 8),33,YES,1.2270012,3.327999,0.28499985,1
16900,MONOLINGUAL-DEVEL,0.4,0.02,0.23,1.0,0.1,(INCREMENT DOUBLE DIVIDE),(3 1),1,NO,5.4609985,3.2640038,0.43499756,1
16900,MONOLINGUAL-DEVEL,0.4,0.02,0.23,1.0,0.1,(TRIPLE INCREMENT ADD),(2 1),7,NO,1.8050003,3.9690018,0.43499756,1
16900,MONOLINGUAL-DEVEL,0.4,0.02,0.23,1.0,0.1,(TRIPLE INCREMENT ADD),(6 4),23,YES,1.2300034,3.270996,0.28500366,1
16900,MONOLINGUAL-DEVEL,0.4,0.02,0.23,1.0,0.1,(INCREMENT DOUBLE DIVIDE),(7 3),1,YES,1.0879974,3.552002,0.28499603,1
16900,MONOLINGUAL-DEVEL,0.4,0.02,0.23,1.0,0.1,(TRIPLE INCREMENT ADD),(6 1),20,YES,1.0770035,3.2859955,0.28500366,1
16900,MONOLINGUAL-DEVEL,0.4,0.02,0.23,1.0,0.1,(TRIPLE INCREMENT ADD),(2 6),12,NO,1.6230011,3.5810013,0.43499756,1
16900,MONOLINGUAL-DEVEL,0.4,0.02,0.23,1.0,0.1,(TRIPLE INCREMENT ADD),(3 5),15,YES,1.2149963,3.4880066,0.28499603,1
16900,MONOLINGUAL-DEVEL,0.4,0.02,0.23,1.0,0.1,(INCREMENT DOUBLE DIVIDE),(3 2),1,YES,2.2470016,3.526001,0.28499603,1
16900,MONOLINGUAL-DEVEL,0.4,0.02,0.23,1.0,0.1,(INCREMENT DOUBLE DIVIDE),(7 3),2,NO,1.0839996,3.5509949,0.43501282,1
16900,MONOLINGUAL-DEVEL,0.4,0.02,0.23,1.0,0.1,(INCREMENT DOUBLE DIVIDE),(8 3),1,YES,1.2249908,3.248001,0.28500366,1
16900,MONOLINGUAL-DEVEL,0.4,0.02,0.23,1.0,0.1,(TRIPLE INCREMENT ADD),(3 7),17,YES,1.0690002,3.5149994,0.28500366,1
16900,MONOLINGUAL-DEVEL,0.4,0.02,0.23,1.0,0.1,(INCREMENT DOUBLE DIVIDE),(9 3),2,NO,1.6100006,3.1640015,0.43499756,1
16900,MONOLINGUAL-DEVEL,0.4,0.02,0.23,1.0,0.1,(INCREMENT DOUBLE DIVIDE),(7 3),2,NO,1.2119904,3.4960022,0.43499756,1
16900,MONOLINGUAL-DEVEL,0.4,0.02,0.23,1.0,0.1,(INCREMENT DOUBLE DIVIDE),(5 3),1,YES,1.2180023,3.2080078,0.2849884,1
16900,MONOLINGUAL-DEVEL,0.4,0.02,0.23,1.0,0.1,(TRIPLE INCREMENT ADD),(3 7),17,YES,1.0620117,3.9409943,0.28500366,1
16900,MONOLINGUAL-DEVEL,0.4,0.02,0.23,1.0,0.1,(DOUBLE DOUBLE DIVIDE),(4 3),2,NO,1.0659943,3.899002,0.43499756,1
16900,MONOLINGUAL-DEVEL,0.4,0.02,0.23,1.0,0.1,(HALF THIRD ADD),(6 9),5,NO,1.7660065,3.675003,0.43499756,1
16900,MONOLINGUAL-DEVEL,0.4,0.02,0.23,1.0,0.1,(DOUBLE THIRD DIVIDE),(6 8),4,NO,1.2109985,3.9069977,0.43499756,1
16900,MONOLINGUAL-DEVEL,0.4,0.02,0.23,1.0,0.1,(INCREMENT DOUBLE DIVIDE),(3 1),2,YES,1.2230072,3.5359955,0.28500366,1
16900,MONOLINGUAL-DEVEL,0.4,0.02,0.23,1.0,0.1,(INCREMENT THIRD TIMES),(3 6),7,NO,1.0639954,4.5930023,0.43499756,1
16900,MONOLINGUAL-DEVEL,0.4,0.02,0.23,1.0,0.1,(INCREMENT THIRD TIMES),(4 7),10,YES,3.8009949,3.5660095,0.28500366,1
16900,MONOLINGUAL-DEVEL,0.4,0.02,0.23,1.0,0.1,(TRIPLE INCREMENT TIMES),(2 7),48,YES,1.0639954,3.9080048,0.2849884,1
16900,MONOLINGUAL-DEVEL,0.4,0.02,0.23,1.0,0.1,(TRIPLE INCREMENT DIVIDE),(7 6),3,YES,1.0590057,3.9190063,0.2849884,1
16900,MONOLINGUAL-DEVEL,0.4,0.02,0.23,1.0,0.1,(TRIPLE TRIPLE ADD),(3 8),33,YES,1.0690002,3.933014,0.28500366,1
16900,MONOLINGUAL-DEVEL,0.4,0.02,0.23,1.0,0.1,(DOUBLE THIRD TIMES),(4 7),17,NO,1.6329956,3.6279907,0.43499756,1
16900,MONOLINGUAL-DEVEL,0.4,0.02,0.23,1.0,0.1,(TRIPLE INCREMENT ADD),(2 9),14,NO,1.8080139,3.5489807,0.43499756,1
16900,MONOLINGUAL-DEVEL,0.4,0.02,0.23,1.0,0.1,(TRIPLE INCREMENT ADD),(6 4),23,YES,1.7960205,3.255005,0.28497314,1
16900,MONOLINGUAL-DEVEL,0.4,0.02,0.23,1.0,0.1,(TRIPLE INCREMENT ADD),(1 4),7,NO,1.0720215,3.565979,0.43499756,1
16900,MONOLINGUAL-DEVEL,0.4,0.02,0.23,1.0,0.1,(DOUBLE TRIPLE DIVIDE),(3 2),1,YES,1.2120056,3.8890076,0.28500366,1
16900,MONOLINGUAL-DEVEL,0.4,0.02,0.23,1.0,0.1,(INCREMENT HALF ADD),(4 7),8,YES,1.0639954,3.899994,0.28500366,1
16900,MONOLINGUAL-DEVEL,0.4,0.02,0.23,1.0,0.1,(INCREMENT DOUBLE DIVIDE),(5 3),2,NO,1.0780029,3.229004,0.43499756,1
16900,MONOLINGUAL-DEVEL,0.4,0.02,0.23,1.0,0.1,(INCREMENT DOUBLE DIVIDE),(7 3),2,NO,2.8919983,3.6730042,0.43499756,1
16900,MONOLINGUAL-DEVEL,0.4,0.02,0.23,1.0,0.1,(INCREMENT DOUBLE DIVIDE),(8 4),1,YES,1.2139893,3.2890015,0.28500366,1
