idx,model_name,alpha,ans,imaginal-delay,le,nu,Rule,Inputs,Probe,ProbeCorrect,EncodingRT,ExecutionRT,ProbeRT,Accuracy
31900,MONOLINGUAL-DEVEL,0.5,0.03,0.21,1.1,0.1,(INCREMENT DOUBLE DIVIDE),(5 3),1,YES,1.883,4.597,0.2850008,1
31900,MONOLINGUAL-DEVEL,0.5,0.03,0.21,1.1,0.1,(INCREMENT DOUBLE DIVIDE),(1 1),2,NO,2.7189999,3.3329992,0.43500137,1
31900,MONOLINGUAL-DEVEL,0.5,0.03,0.21,1.1,0.1,(TRIPLE INCREMENT ADD),(2 4),10,NO,1.1609993,4.171999,0.43500137,1
31900,MONOLINGUAL-DEVEL,0.5,0.03,0.21,1.1,0.1,(TRIPLE INCREMENT ADD),(1 4),7,NO,3.5569992,3.8909988,0.43500137,1
31900,MONOLINGUAL-DEVEL,0.5,0.03,0.21,1.1,0.1,(TRIPLE INCREMENT ADD),(2 9),15,NO,1.1959991,3.038002,0.43499756,1
31900,MONOLINGUAL-DEVEL,0.5,0.03,0.21,1.1,0.1,(TRIPLE INCREMENT ADD),(8 8),33,YES,1.1910019,3.9939995,0.28499985,1
31900,MONOLINGUAL-DEVEL,0.5,0.03,0.21,1.1,0.1,(INCREMENT DOUBLE DIVIDE),(3 1),1,NO,5.901001,3.3909988,0.43499756,1
31900,MONOLINGUAL-DEVEL,0.5,0.03,0.21,1.1,0.1,(TRIPLE INCREMENT ADD),(2 1),7,NO,2.2649994,3.2730026,0.43499756,1
31900,MONOLINGUAL-DEVEL,0.5,0.03,0.21,1.1,0.1,(TRIPLE INCREMENT ADD),(6 4),23,YES,1.177002,3.012001,0.28500366,1
31900,MONOLINGUAL-DEVEL,0.5,0.03,0.21,1.1,0.1,(INCREMENT DOUBLE DIVIDE),(7 3),1,YES,1.0199966,3.3479996,0.28500366,1
31900,MONOLINGUAL-DEVEL,0.5,0.03,0.21,1.1,0.1,(TRIPLE INCREMENT ADD),(6 1),20,YES,1.0469971,3.1940002,0.28499603,1
31900,MONOLINGUAL-DEVEL,0.5,0.03,0.21,1.1,0.1,(TRIPLE INCREMENT ADD),(2 6),12,NO,1.5470047,3.697998,0.43499756,1
31900,MONOLINGUAL-DEVEL,0.5,0.03,0.21,1.1,0.1,(TRIPLE INCREMENT ADD),(3 5),15,YES,1.1700058,3.6709976,0.28499603,1
31900,MONOLINGUAL-DEVEL,0.5,0.03,0.21,1.1,0.1,(INCREMENT DOUBLE DIVIDE),(3 2),1,YES,1.0360031,3.0559998,0.28500366,1
31900,MONOLINGUAL-DEVEL,0.5,0.03,0.21,1.1,0.1,(INCREMENT DOUBLE DIVIDE),(7 3),2,NO,1.0149994,3.1029968,0.43499756,1
31900,MONOLINGUAL-DEVEL,0.5,0.03,0.21,1.1,0.1,(INCREMENT DOUBLE DIVIDE),(8 3),1,YES,1.673996,3.1630096,0.28500366,1
