idx,model_name,alpha,ans,imaginal-delay,le,nu,Rule,Inputs,Probe,ProbeCorrect,EncodingRT,ExecutionRT,ProbeRT,Accuracy
7600,MONOLINGUAL-DEVEL,0.0,0.01,0.16,1.1,0.4,(INCREMENT DOUBLE DIVIDE),(5 3),1,YES,1.321,4.716,0.28499985,1
7600,MONOLINGUAL-DEVEL,0.0,0.01,0.16,1.1,0.4,(INCREMENT DOUBLE DIVIDE),(1 1),2,NO,3.6380005,3.2370005,0.43499947,1
7600,MONOLINGUAL-DEVEL,0.0,0.01,0.16,1.1,0.4,(TRIPLE INCREMENT ADD),(2 4),10,NO,1.1210003,4.2929993,0.43500137,1
7600,MONOLINGUAL-DEVEL,0.0,0.01,0.16,1.1,0.4,(TRIPLE INCREMENT ADD),(1 4),7,NO,4.6089993,3.7060013,0.43499756,1
7600,MONOLINGUAL-DEVEL,0.0,0.01,0.16,1.1,0.4,(TRIPLE INCREMENT ADD),(2 9),15,NO,1.1140022,3.0319977,0.43500137,1
7600,MONOLINGUAL-DEVEL,0.0,0.01,0.16,1.1,0.4,(TRIPLE INCREMENT ADD),(8 8),33,YES,1.1149979,3.7050018,0.28499985,1
7600,MONOLINGUAL-DEVEL,0.0,0.01,0.16,1.1,0.4,(INCREMENT DOUBLE DIVIDE),(3 1),1,NO,4.8569984,3.043003,0.43499756,1
7600,MONOLINGUAL-DEVEL,0.0,0.01,0.16,1.1,0.4,(TRIPLE INCREMENT ADD),(2 1),7,NO,1.5830002,3.2949982,0.4350052,1
7600,MONOLINGUAL-DEVEL,0.0,0.01,0.16,1.1,0.4,(TRIPLE INCREMENT ADD),(6 4),23,YES,1.5649948,3.0410004,0.28500366,1
7600,MONOLINGUAL-DEVEL,0.0,0.01,0.16,1.1,0.4,(INCREMENT DOUBLE DIVIDE),(7 3),1,YES,0.9749985,3.058998,0.28500366,1
7600,MONOLINGUAL-DEVEL,0.0,0.01,0.16,1.1,0.4,(TRIPLE INCREMENT ADD),(6 1),20,YES,0.9679947,2.979004,0.28500366,1
