Rule,Inputs,Probe,ProbeCorrect,EncodingRT,ExecutionRT,ProbeRT,Accuracy
(TRIPLE INCREMENT ADD),(6 4),23,YES,1.1589966,4.0119934,0.28500366,1
(TRIPLE INCREMENT ADD),(1 4),7,NO,1.0069885,4.006012,0.43499756,1
(DOUBLE TRIPLE DIVIDE),(3 2),1,YES,3.1809998,4.0500183,0.28497314,1
(INCREMENT HALF ADD),(4 7),8,YES,2.5510254,4.0889893,0.28500366,1
(INCREMENT DOUBLE DIVIDE),(5 3),2,NO,3.0100098,4.0229797,0.43499756,1
(INCREMENT DOUBLE DIVIDE),(7 3),2,NO,1.1620178,4.013977,0.43502808,1
(INCREMENT DOUBLE DIVIDE),(8 4),1,YES,1.1589966,4.013977,0.28500366,1
(INCREMENT INCREMENT TIMES),(6 1),13,NO,2.5509949,4.085022,0.43499756,1
(TRIPLE INCREMENT ADD),(3 5),15,YES,1.1629944,4.0140076,0.28500366,1
(INCREMENT DOUBLE DIVIDE),(7 3),2,NO,1.0090027,4.0099792,0.43499756,1
(DOUBLE THIRD ADD),(1 6),4,YES,2.7010193,4.092987,0.28500366,1
(TRIPLE INCREMENT ADD),(2 1),7,NO,1.0119934,4.0130005,0.43499756,1
(INCREMENT DOUBLE DIVIDE),(8 3),2,NO,1.1589966,4.01001,0.43499756,1
(TRIPLE INCREMENT ADD),(2 4),9,NO,1.1610107,4.0079956,0.43499756,1
(DOUBLE DOUBLE ADD),(8 6),27,NO,3.1809998,4.049988,0.43499756,1
(INCREMENT DOUBLE DIVIDE),(9 3),1,YES,1.1590271,4.0069885,0.28500366,1
(INCREMENT DOUBLE DIVIDE),(3 2),1,YES,1.0069885,4.005005,0.28500366,1
(THIRD HALF ADD),(9 7),5,NO,3.0310059,4.052002,0.43499756,1
(INCREMENT DOUBLE DIVIDE),(7 3),2,NO,1.1560059,3.9979858,0.43499756,1
(TRIPLE INCREMENT ADD),(2 6),11,NO,1.1629944,4.0130005,0.43499756,1
(INCREMENT DOUBLE DIVIDE),(1 1),2,NO,1.1549988,4.0,0.43499756,1
(TRIPLE INCREMENT ADD),(8 8),33,YES,1.1620178,4.0090027,0.28500366,1
(TRIPLE INCREMENT ADD),(6 1),19,NO,1.0099792,4.0050354,0.43499756,1
(DOUBLE TRIPLE TIMES),(5 1),30,YES,3.1809692,4.0530396,0.28497314,1
(THIRD HALF DIVIDE),(9 6),2,NO,2.5510254,4.0879517,0.43499756,1
(THIRD TRIPLE TIMES),(8 1),7,NO,3.1810303,4.0509644,0.43499756,1
(HALF TRIPLE TIMES),(4 1),5,NO,2.7010498,4.086975,0.43499756,1
(DOUBLE INCREMENT TIMES),(1 3),8,YES,3.1810303,4.044983,0.28497314,1
