Rule,Inputs,Probe,ProbeCorrect,EncodingRT,ExecutionRT,ProbeRT,Accuracy
(INCREMENT DOUBLE DIVIDE),(5 3),1,YES,3.854,2.5809999,0.28499985,1
(INCREMENT DOUBLE DIVIDE),(1 1),2,NO,2.9580002,2.6139994,0.43499947,1
(TRIPLE INCREMENT ADD),(2 4),10,NO,3.6540012,2.6669998,0.43499947,1
(TRIPLE INCREMENT ADD),(1 4),7,NO,2.6340008,3.0009995,0.43500137,1
(TRIPLE INCREMENT ADD),(2 9),15,NO,3.086998,3.3950005,0.43500137,1
(TRIPLE INCREMENT ADD),(8 8),33,YES,1.1469994,3.7340012,0.28499985,1
(INCREMENT DOUBLE DIVIDE),(3 1),1,NO,6.640999,2.8379974,0.4350052,1
(TRIPLE INCREMENT ADD),(2 1),7,NO,2.1309967,4.008003,0.43499756,1
(TRIPLE INCREMENT ADD),(6 4),23,YES,1.1520004,4.0049973,0.28500366,1
(INCREMENT DOUBLE DIVIDE),(7 3),1,YES,2.4659958,3.5510025,0.28499603,1
(TRIPLE INCREMENT ADD),(6 1),20,YES,2.4470062,3.9959946,0.28500366,1
(TRIPLE INCREMENT ADD),(2 6),12,NO,0.9960022,3.9939957,0.4350052,1
(TRIPLE INCREMENT ADD),(3 5),15,YES,1.1449966,3.9889984,0.28500366,1
(INCREMENT DOUBLE DIVIDE),(3 2),1,YES,2.947998,4.003006,0.2849884,1
(INCREMENT DOUBLE DIVIDE),(7 3),2,NO,0.9990082,3.998993,0.43499756,1
(INCREMENT DOUBLE DIVIDE),(8 3),1,YES,1.6220093,3.9920044,0.2849884,1
(TRIPLE INCREMENT ADD),(3 7),17,YES,1.4840088,3.998993,0.28500366,1
(INCREMENT DOUBLE DIVIDE),(9 3),2,NO,0.9960022,3.9920044,0.43499756,1
(INCREMENT DOUBLE DIVIDE),(7 3),2,NO,1.1439972,3.9869995,0.43499756,1
(INCREMENT DOUBLE DIVIDE),(5 3),1,YES,1.1430054,3.9850006,0.2849884,1
(TRIPLE INCREMENT ADD),(3 7),17,YES,1.006012,4.0059967,0.28500366,1
(DOUBLE DOUBLE DIVIDE),(4 3),2,NO,3.0309906,4.052002,0.43499756,1
(HALF THIRD ADD),(6 9),5,NO,3.1809998,3.2140045,0.43499756,1
(DOUBLE THIRD DIVIDE),(6 8),4,NO,3.654007,3.399002,0.43499756,1
(INCREMENT DOUBLE DIVIDE),(3 1),2,YES,1.1490021,3.994995,0.28500366,1
(INCREMENT THIRD TIMES),(3 6),7,NO,3.0309906,2.779007,0.43499756,1
(INCREMENT THIRD TIMES),(4 7),10,YES,3.626999,3.2689972,0.28500366,1
(TRIPLE INCREMENT TIMES),(2 7),48,YES,3.0310059,3.5919952,0.28500366,1
(TRIPLE INCREMENT DIVIDE),(7 6),3,YES,3.0310059,4.048004,0.28497314,1
(TRIPLE TRIPLE ADD),(3 8),33,YES,3.0310059,4.050995,0.28500366,1
(DOUBLE THIRD TIMES),(4 7),17,NO,3.0310059,4.0559998,0.43499756,1
(TRIPLE INCREMENT ADD),(2 9),14,NO,7.54599,3.9930115,0.43499756,1
(TRIPLE INCREMENT ADD),(6 4),23,YES,1.1480103,3.9899902,0.28500366,1
(TRIPLE INCREMENT ADD),(1 4),7,NO,0.9960022,3.9849854,0.43502808,1
(DOUBLE TRIPLE DIVIDE),(3 2),1,YES,3.1809998,4.049988,0.28500366,1
(INCREMENT HALF ADD),(4 7),8,YES,3.0310059,3.427002,0.28497314,1
(INCREMENT DOUBLE DIVIDE),(5 3),2,NO,4.904999,3.9970093,0.43499756,1
(INCREMENT DOUBLE DIVIDE),(7 3),2,NO,1.1490173,3.9899902,0.43499756,1
(INCREMENT DOUBLE DIVIDE),(8 4),1,YES,1.6239929,3.9890137,0.28500366,1
(INCREMENT INCREMENT TIMES),(6 1),13,NO,3.5039978,4.022003,0.43499756,1
(TRIPLE INCREMENT ADD),(3 5),15,YES,1.6319885,3.9909973,0.28500366,1
(INCREMENT DOUBLE DIVIDE),(7 3),2,NO,0.9970093,3.9859924,0.43499756,1
(DOUBLE THIRD ADD),(1 6),4,YES,3.1809998,4.0549927,0.28500366,1
(TRIPLE INCREMENT ADD),(2 1),7,NO,1.480011,3.9880066,0.43499756,1
(INCREMENT DOUBLE DIVIDE),(8 3),2,NO,1.1470032,3.9859924,0.43499756,1
(TRIPLE INCREMENT ADD),(2 4),9,NO,1.1489868,3.9840088,0.43499756,1
(DOUBLE DOUBLE ADD),(8 6),27,NO,3.1809998,4.0500183,0.43499756,1
(INCREMENT DOUBLE DIVIDE),(9 3),1,YES,1.1470032,3.9849854,0.28500366,1
(INCREMENT DOUBLE DIVIDE),(3 2),1,YES,0.9960022,3.9840088,0.28500366,1
(THIRD HALF ADD),(9 7),5,NO,3.0309753,3.7850037,0.43499756,1
(INCREMENT DOUBLE DIVIDE),(7 3),2,NO,1.1450195,3.9779968,0.43499756,1
(TRIPLE INCREMENT ADD),(2 6),11,NO,1.151001,3.9889832,0.43499756,1
(INCREMENT DOUBLE DIVIDE),(1 1),2,NO,1.1450195,3.9799805,0.43499756,1
(TRIPLE INCREMENT ADD),(8 8),33,YES,1.1500244,3.9859924,0.28500366,1
(TRIPLE INCREMENT ADD),(6 1),19,NO,0.9989929,3.9829712,0.43499756,1
(DOUBLE TRIPLE TIMES),(5 1),30,YES,3.1810303,4.0529785,0.28497314,1
(THIRD HALF DIVIDE),(9 6),2,NO,3.5040283,4.0249634,0.4350586,1
(THIRD TRIPLE TIMES),(8 1),7,NO,3.6539917,4.0249634,0.43499756,1
(HALF TRIPLE TIMES),(4 1),5,NO,3.1810303,4.049988,0.43499756,1
(DOUBLE INCREMENT TIMES),(1 3),8,YES,3.1810303,4.044983,0.28497314,1
